RSU1,IKZF3,CHEK1,EHF,CCNK,MANEA,MAD2L1,AZI2,PLXDC2,DCTN4,EML4,CCND2,EEA1,HS2ST1,SLC26A2,LYRM2,IFRD1,Sample_id,Response
6.990407384,3.9396867,4.345724666,3.847654059,5.507901409,3.374107562,5.823386287,3.583040972,5.111253148,5.185169371,6.438184486,6.748514864,4.124758246,6.104608982,4.771150146,5.450080461,5.324157045,GSM549280,Non_response
7.03814254823133,4.59608955015335,4.41786526591368,4.57444112188467,5.11001018393682,3.3431837331421,4.60661551302584,3.43523148191794,4.21454366723305,4.88133849065516,6.28566192725574,7.05284589782122,4.15508587025268,5.36101030572959,5.05013060976324,4.47302877489955,5.73970645563188,GSM1050598,Response
6.37952632555016,3.92130865464913,4.08677232468109,5.08258187648751,5.19852112168485,3.4719999302047,5.07592166495986,3.68342875936688,4.43252983833274,5.14106114996313,6.17941999932197,8.27245062433111,3.59866842381537,5.64948699204288,4.91183558745259,4.44471331758882,5.57469529874288,GSM1050591,Non_response
9.03933685889675,5.81643923539336,7.40026117059687,11.0951539935959,10.1407784857522,7.26627661339274,7.93090530446106,8.21282068870348,10.1537046811278,10.0470048091207,9.10170952021956,9.48352825328175,8.68507956698398,6.71268534430222,8.84068361395722,8.10258103255939,8.63317806840243,GSM809279,Non_response
10.0756632178172,6.74493978434267,8.56873808134505,12.3852962124876,9.78466046203569,7.34060416581084,11.3260537211557,7.44133877518737,6.40425806796116,10.0631025969412,10.3681730544082,11.0660616002344,9.78329847459158,9.09565379119952,10.3082441869728,8.57987965305542,9.13598189599527,GSM1875981,Response
6.8143476,3.978653441,4.623819638,4.597369877,5.71832889,3.469145538,4.027482346,3.711680421,5.162000236,5.425582924,6.208448067,7.578726923,4.515092856,5.728950013,4.958520838,4.356831759,5.51975466,GSM549308,Response
7.193491039,3.724229089,4.558253092,7.29497716,5.001314735,3.387294209,5.415693763,3.78608593,3.868777816,5.408136193,6.32935929,6.581768628,3.965013242,5.774744744,7.711924588,5.11563743,5.542265976,GSM505359,Response
9.81622686449635,7.40335887476251,6.89038651745487,11.479786873861,9.89759189093352,6.74368827501511,7.65599762745312,7.38509856342152,8.01495774641204,9.59291780222364,9.73545618995501,11.1206456065008,8.17637151972319,7.76908402956913,12.5280870452182,7.98967441241366,6.81007982376668,GSM1705402,Non_response
6.654909585,4.096442773,4.325706462,5.023423783,5.306014642,3.749748088,5.230579224,3.746955474,5.355634773,6.118276089,6.38160701,6.682237063,4.307576537,6.329063329,5.068941863,5.344295617,5.478048273,GSM549288,Non_response
8.075019987,4.012718605,4.360681748,7.060499761,5.067278706,3.576405745,5.386619028,3.815617532,4.5411073,5.900979093,6.545276437,7.118795368,3.875339431,6.253452655,6.066817082,5.238684114,5.784804464,GSM549284,Non_response
6.818589432,3.812030282,4.165928169,5.158062071,4.666792896,3.426400155,6.716785572,3.854455957,3.973691296,6.039461778,5.552014606,7.051622279,3.82235127,5.887992966,4.441553883,4.75869576,5.67664357,GSM590868,Non_response
9.35415497109112,7.03225867551342,7.08041387104033,8.02325477442857,10.5818139070152,6.612500886993,7.71605403789829,8.42667720765077,9.87062096156247,8.84257627818422,9.53086071450848,9.82087113344505,8.52447583628771,6.8788350097123,8.98830079797392,7.98044573422384,8.45544370115099,GSM809224,Non_response
7.719867532,7.559089871,7.201912117,6.470301004,8.955994827,6.965525976,7.248564267,7.384952013,9.058389276,7.248564267,7.061721887,7.899125403,7.899125403,13.73914181,6.778115013,9.355003217,6.433507117,GSM2804997,Response
6.997284153,3.593551365,3.726455162,5.482033864,4.93376323,3.305042379,4.187132346,3.797847792,4.021739735,5.815945085,5.544210149,7.079565337,3.813797658,5.276394314,5.192883157,5.390007731,5.508883641,GSM505440,Non_response
11.28784,8.496479,9.2675,8.54247,8.684333,9.188283,11.31944,9.10978496674175,9.151586,11.07228,10.18926,11.68496,10.14676,10.99144,9.733255,9.770638,9.43362,GSM139635,Response
6.15849436419645,4.37100398472689,3.16822331522679,7.72932892393771,6.59041725022422,1.85655800526066,3.36199776889709,7.75384056380688,6.65549895549797,4.69809168603311,6.36290836608246,6.47933755732452,5.25259688803988,2.10573019885093,4.68596843659856,6.49628658188257,6.04407530424831,GSM1233047,Non_response
6.426381396,3.659822437,4.324512911,5.077693935,4.981872625,3.630074213,3.998379817,3.772312833,3.858655101,5.540336077,5.857753328,6.810614626,3.860150498,5.161889645,4.38845229,4.478899908,5.012109483,GSM505394,Non_response
6.856088287,3.942979213,4.375483868,5.113959464,5.277952789,3.469425417,4.293831996,3.755043244,5.789148336,5.891656168,6.748491887,7.727458861,3.917760114,6.090289492,5.166272582,4.861994261,5.046776242,GSM750735,Non_response
7.029517849,3.706831808,4.151114462,7.152283578,5.060787235,3.730023556,5.012718223,3.750736792,4.567561114,6.143532917,6.527569759,7.758183183,3.650526817,5.829744135,5.265727548,5.571329868,5.781828003,GSM508112,Non_response
6.15460383063847,5.25807357581992,3.20988366120113,8.1600467772282,6.52713845329747,2.02759126283606,4.83151016329218,5.47866055570612,5.19237440137198,5.51891542077387,5.85016527796804,7.20963942002412,3.16540371724032,2.76403110104942,5.19584443778717,6.24568353649416,4.77352597353875,GSM1233032,Non_response
6.42165345452521,3.89241574959206,4.56829382013886,6.06672194383439,4.94588411749112,3.47111685382202,5.46793254902435,3.55348750850767,3.82260486029938,4.85648952461423,6.17723210684362,7.29837495171329,3.77868167188127,5.20733090843378,4.5008473102596,4.61875663770239,6.8224634821101,GSM1050590,Non_response
10.16751371,6.17117909,8.097301216,10.79505735,8.794537236,7.184098222,9.882915088,7.187110113,7.183498833,9.68999856,9.743919216,9.634689923,9.999475163,9.420992949,10.52505339,7.968485673,10.14123443,GSM710818,Response
9.7385155082105,6.59612600914699,8.23334769009197,10.4857780873227,9.84889228488804,6.87659215793461,9.24552763325301,7.60908027218139,9.41550229781036,10.3772461480775,10.1644932482335,12.7240124878346,9.32997494265919,9.50416560736054,8.69620763573687,7.83615036496548,9.06547492896331,GSM1875984,Non_response
8.82151737874926,8.40392417174365,5.60013712172961,10.2084327953938,8.4064650987094,7.01856504135503,8.25019485959135,7.43250140107981,7.29205132821556,9.54866716273184,8.75516086000748,9.35508136617219,7.327911590938,7.1153706564743,7.71383503265513,7.96355467004992,7.65546272747874,GSM4171563,Response
