RSU1,IKZF3,CHEK1,EHF,CCNK,MANEA,MAD2L1,AZI2,PLXDC2,DCTN4,EML4,CCND2,EEA1,HS2ST1,SLC26A2,LYRM2,IFRD1,Sample_id,Response
5.76156803352837,4.10342634704539,4.94066641986371,5.55797972683251,7.39552228299805,2.28318475942643,3.90053220644298,6.30337761756857,6.39550531232209,6.42555906655617,6.16295987253742,7.25471997092834,3.65651741477357,2.46411285008997,4.53285182779636,6.06853636580404,4.84681026897161,GSM1233067,Non_response
5.15549025005334,3.92065529728911,3.13301923510714,8.95479289177302,6.51724758707823,1.89056956106987,3.18923761480866,6.34673225326326,7.15076769919085,5.52328708027987,5.78778719660318,7.20523646326149,4.07959870381358,1.9612507220492,4.37866124075993,6.55780205851532,5.29526371228837,GSM1233069,Non_response
6.31098613214174,4.48102227718185,2.67004189902268,10.5699399101609,6.72779288646321,2.21340245639352,3.30565999176059,6.24892061484947,6.2477228325569,5.29926637589816,6.48396459164373,8.17181128603774,5.43520610377179,3.21921833236688,4.55816170333632,6.25542705088049,4.92504030129822,GSM1233072,Non_response
5.57809045591007,3.95966180014688,3.66652914975946,7.6875420979388,7.1880471255275,1.92915402933138,4.17073750338032,6.15046373532021,5.63253597498614,5.62178030789789,6.58279300372463,6.3100630245336,3.90246632650395,2.06452228851486,4.4704082846326,6.59193014173216,4.86911004047679,GSM1233085,Response
5.66037994087141,3.56067244048231,2.72233488056444,7.91806224385412,7.14514284916593,3.1102392228967,4.40239204016126,5.87281347879971,7.07552929985,5.46229958524874,6.16828580227598,7.77370995882047,4.25869605325431,2.36136369597617,5.36335347176473,6.34989521130951,5.31685184069857,GSM1233086,Non_response
6.12936096000696,4.75552389331484,3.14132029866685,8.81576366802157,7.36856290951435,3.23654037087634,2.82370761784947,6.09207335290554,6.44851376855703,5.6887444765007,6.8841747935535,7.87528647408901,3.88526563096592,2.15685801259712,5.51984450018934,6.59470614907431,5.68091860277655,GSM1233098,Response
5.7047874095829,4.90989323734549,3.08449725789661,8.68842678446992,6.19560827338963,2.0553256674124,3.04582783079162,6.55650884034475,7.17380543676586,5.50398940362313,6.83018643375539,8.40589279648078,2.61282666055254,3.1438175820336,4.923764845077,6.63196621484411,5.52279378840787,GSM1233102,Non_response
6.17430460555651,4.09592568835107,3.97695268561274,9.80661083286168,7.96369351481838,1.88375077193603,3.84208959946704,6.53086848850722,5.40555600090458,3.82535729472475,6.05409506267106,7.43878353271272,3.29180921487216,2.76215707176621,4.30991418505876,6.46020821510505,5.66975759985567,GSM1233103,Non_response
6.30724979263379,4.40013492349347,2.91523756028035,9.39739357249231,7.28898576944553,2.48786411513015,3.90324149755039,6.4362556952304,6.8174411289696,5.89401457807657,6.56858081800357,7.78150697547578,4.68367928907081,2.45745816688961,6.23973972686345,6.35683068810236,5.9661418352626,GSM1233107,Non_response
4.13493198064693,4.93420635955462,3.24381593665396,8.80643065611786,5.29795644943033,2.9422110332271,3.35570941960825,6.47355090853722,5.98085586395325,3.37607642311401,5.62072203688579,8.65364685360416,4.29616067300909,2.81660747213173,4.73585683675286,6.56056479791318,5.40686236165613,GSM1233108,Non_response
5.45295939500458,3.87566136813695,2.90027621718123,10.1467108497121,5.74163188700147,1.87724415762964,4.18494462736006,5.41190344094261,6.99258652474873,5.13718378325882,5.66976166463015,7.85851386994297,3.66174747160046,1.99593253130614,4.74974722381278,6.57382409022185,5.14387320882599,GSM1233109,Non_response
5.83155817819249,4.06989073223433,2.71481672415869,5.89330422395148,6.48950437083502,4.82901536843618,3.35485219865135,7.71213111595129,7.84986624207358,5.69564254734702,5.93337762423999,7.4020429745301,4.76536724776994,1.79414573640772,5.0782126998933,6.6639688404735,5.67967680484637,GSM1233110,Non_response
6.26659193403887,4.38396071038748,3.02734473798833,10.0919773244291,7.66830425545549,3.34105776789652,3.9002820926044,6.68690478428496,7.32828353783955,6.13587629980789,6.29400054035418,6.7968448230624,4.91766084713628,2.40910741726716,4.91666699908708,6.32723121623769,6.28783912095291,GSM1233113,Non_response
6.92309019616929,4.15469853463715,3.61480280348552,8.61978726887669,6.19178723436846,2.03551577955477,3.80093319417744,5.6830736929585,5.9699813487786,3.3992552617477,6.36636874394721,6.9842339747303,3.59029844173908,2.83809562457001,4.91385868236583,5.97901383816787,4.84107971091207,GSM1233114,Response
7.20016700408831,3.88397470785796,3.01092881286392,9.42156305878437,6.63432561218491,2.44475163854243,3.1291705194398,7.24192224051455,8.06558074709196,6.2446989019267,6.12115054821573,8.00323741740954,4.66093439413449,2.90112947095663,6.3257662482796,6.102853577202,4.71843576334142,GSM1233116,Non_response
7.02655330426053,4.37943342746643,4.0404701310147,8.97669760724677,6.46552068617508,2.72017118626528,3.98938146719053,7.85391554906805,6.93327475750121,4.93225125608721,7.31419122436218,8.12203788662595,3.56992142179207,3.34338452575088,4.79257170471291,6.2965197052399,5.49112319197933,GSM1233119,Response
6.34898009302152,4.21474705506763,3.76244210026775,10.2119966555187,6.82952282440977,4.60005750747206,4.22901323060013,5.5106112290898,5.97420155364976,4.62168821663602,7.4816539001339,7.17512971305476,5.08629940178052,2.33623701601094,4.68519135779819,6.7027839353243,4.36192225142829,GSM1233120,Non_response
6.04880364706237,4.01177685194789,3.27543171150901,9.4378044872368,7.33005225752581,2.76959554889351,2.7284970059156,6.56639591080807,7.12753163228902,5.61786888894413,6.39507198821121,7.24885481517551,4.24642115847829,1.99588977671263,4.80737575674593,6.62754631673119,5.10234146413441,GSM1233121,Non_response
5.27398945514927,4.87357134017018,3.39620994098002,10.4163809499837,6.85597319641346,2.02387979247065,2.96290079790536,5.86675767238691,6.86920076732428,7.30675310441067,5.28039737371541,6.91758456746766,4.77684857465672,2.8448296604962,5.03117611313042,6.00573507706355,5.13772705647308,GSM1233123,Non_response
6.8679521285375,4.45957446207411,3.12048544663883,7.50146754572713,7.08913710100742,4.0762872506806,3.64635285774778,5.74995791196951,6.95572469848498,6.28047373633734,7.07846380315369,7.42684523715409,5.40936240898831,2.5024991706752,4.6992146100211,6.10245919226516,5.78912906712778,GSM1233124,Non_response
6.11648868508643,4.8160587940699,3.16483681763893,5.97523607251621,6.15799503269679,2.25199780045497,3.38893274908574,5.72020025735807,6.33868629513199,4.0009478097121,5.34274531417419,8.62225571286987,2.76442747389985,2.14974867110091,4.74306175150489,6.69459374050413,4.30828531401977,GSM1233125,Non_response
6.16422301379153,4.90941693532029,3.07783339147651,6.21233077072094,7.059205987618,2.17693692993835,3.00079881640954,6.26298380336359,6.13939545715025,5.71934961297662,7.4763388409865,8.57378728351015,5.1359402491906,2.5399644695834,4.7008149746416,6.61943333699948,4.43968676833195,GSM1233126,Non_response
7.06730272591546,3.93559263616712,2.75026797005358,7.75880675425732,7.2526049726099,1.89467226037092,4.57041223997035,5.76000069447808,7.08554006131495,5.21095881651725,6.82961604570722,8.07375633255724,4.37490849451262,2.83242496374131,5.19496876225028,6.21281295985799,6.63954970882791,GSM1233127,Non_response
5.38395271520062,4.50341388608425,3.16247468811282,8.32599862809654,6.1168536452849,3.54562901335116,3.12114679767336,5.97386812879076,5.59559712923977,4.62348623744369,6.19848820723463,8.65675169718112,3.15183461569488,2.06014026903679,5.60422332589377,6.3476567243409,4.41949955430569,GSM1233128,Non_response
6.19591941703373,8.78805953829683,3.00933564719308,9.57595995130809,7.36845212690452,1.67737846834802,4.61346880922183,6.68517776184528,6.9921119305348,5.38077480157682,6.18468503544432,7.05480115194883,4.80897474665515,2.61851739032974,4.70986813595624,6.33097496782134,4.80386857390757,GSM1233129,Response
6.21104375676829,4.16208833302077,2.76162574359792,10.132396531397,6.68043617755796,1.96465289551294,3.11956159498548,7.00451519005936,7.06950795145386,6.4606337767627,6.16109996789271,6.81932082802492,3.798301395473,2.10864684315088,5.09290356723615,6.58664387252704,5.10810620482354,GSM1233130,Non_response
7.85629933588255,4.57444022666888,3.77508945510126,9.08792723371274,6.19746846825807,2.36394169016195,4.3476149618996,6.08085992177208,5.10880423448099,5.28313427388867,6.54151747058972,7.36706715658389,3.40910072320471,2.34028144739868,4.54009948004988,6.37935776661753,5.0371335810759,GSM1233131,Non_response
6.9193532853885,4.78998075041859,4.4473317545763,9.70053967359082,6.77503602513167,2.24869716274338,3.37346952656649,5.80780983664643,6.7187746147402,3.71485951978085,6.70131633266355,7.39176248224362,3.94478587089703,2.40620289132857,4.99719378006153,6.43779407343175,5.0971180776563,GSM1233132,Response
