CHEK1,IKZF3,ASPM,CAMK1D,FNDC3B,EHF,RSU1,EML4,GTF2A1,CCND2,RNF19A,CDT1,MAD2L1,UBE2S,EEA1,CRIPT,KLHL7,RAB28,CCNK,LUM,PLXDC2,CDK6,ACADSB,DTWD1,Sample_id,Response
4.882159162,3.798688688,5.536004927,4.49215241,7.486687966,5.043289302,8.622390556,6.467244096,4.518576942,7.13877555,5.524703689,5.175193864,5.930819202,9.433538784,3.757171831,5.540176858,7.001368092,3.636115423,5.117866755,6.890170586,4.54980352,5.433961924,3.407738208,3.746688864,GSM505583,Response
6.89627578835964,7.49338721070616,5.70931689260737,7.57124284034564,9.38587968793916,9.87721981100413,4.33740794780224,10.2091659212261,6.8932417337448,6.93328316858745,7.2669177647887,8.94880443809518,5.45241180296248,5.26653721161561,7.43922252063485,8.37108987848912,8.26467801423412,7.39783138010486,8.73175475123467,4.38266284914995,6.64901948835133,8.40671081286013,8.13740629023089,7.74110378591118,GSM1525236--7,Response
8.791801,8.254541,8.92140835797531,8.101274,10.01782,10.88444,10.56328,8.781456,9.688785,11.16008,10.00251,11.04455,10.64488,10.06079,9.105956,10.06912,8.825877,10.38262,9.515187,10.50099,7.887758,8.647645,10.5383952441158,8.549179,GSM139543,Response
4.110979355,4.582816626,4.314496204,4.743340454,5.679242839,4.109052308,6.723687619,7.145475283,4.663158566,10.46879349,5.541453685,4.43325152,5.181962099,7.657883475,4.030059952,5.078858288,4.707506849,3.651490884,5.26785122,4.435157824,4.169752221,5.654128342,3.755250565,3.877718995,GSM505435,Response
4.362694654,4.109733444,5.25283343,5.257014689,5.475676023,4.486824083,7.061278194,6.447161829,4.655734417,6.049820913,6.131065102,5.192011754,6.248395033,6.838724664,4.107374705,4.803556866,5.252587513,3.953812724,5.545354829,6.609284619,5.014948934,5.900121945,3.855661372,3.589729234,GSM549300,Non_response
9.198462,6.891111,8.31663818068842,9.22709,11.29299,11.31706,11.13007,9.633817,10.27774,10.20789,10.94034,11.29174,10.60433,10.59254,8.943878,9.408891,10.16162,9.98002,10.05368,12.525,8.734001,8.843972,6.52023234819593,8.043702,GSM139627,Non_response
6.82024662651886,6.91706426984122,5.69014412772371,7.4618200701925,8.31443793096254,10.6931222269207,4.56919152440463,10.2985660444314,6.61165490894056,9.42610799146461,7.9984559922586,8.8220236093165,5.20789495887695,5.30860335252758,6.20317917577823,7.90108510291283,7.37740456542001,7.67593487548006,9.56777903428962,4.19615169065266,7.14299922310188,10.0451674190011,7.27381972974856,7.89733160037972,GSM1525237--8,Response
7.309776021,7.590029069,6.636198203,7.146673568,9.265879369,7.185399632,7.831468223,7.554182065,10.16261901,7.419713343,9.194511341,8.195388898,7.661085029,10.74580159,8.090500088,7.57305815,7.440228573,6.926956689,7.489783275,6.327822044,8.670345492,6.522861669,7.598041665,7.289919841,GSM2804894,Response
4.060158174,4.006234309,4.116616251,4.44666523,5.669160266,3.264445393,6.069464407,5.824908844,4.975449876,6.426959229,4.653737031,4.36317948,4.24592425,6.113986899,3.918344813,4.857014086,4.170260256,4.092596544,5.148651488,5.513480404,3.942723361,5.61218486,4.912367773,3.544915947,GSM508051,Non_response
4.477208794,3.770942834,4.663237456,4.805521792,6.19749253,5.134445584,6.442565557,6.082202698,4.684923668,7.426523175,4.855867416,4.808053891,4.683294109,8.537762233,3.928428959,4.971440145,4.652498225,3.952915519,5.009163977,7.261010781,3.810496708,5.536336389,3.697518492,3.98496074,GSM508136,Non_response
4.282246022,4.148978166,7.013694211,4.907224211,6.913483205,7.276191316,5.990783599,5.565256092,4.269611927,6.68184212,4.580845008,5.197880847,5.709251342,7.683964971,4.053543068,4.608676129,4.417201916,3.755054227,4.998290271,3.533923075,3.638316826,5.363712002,3.494267113,3.927984958,GSM590855,Response
4.272112114,3.971001025,4.713079733,4.551210153,5.156245862,5.529223042,5.907092556,5.704548872,4.506864067,6.679938769,4.893295135,4.417815954,4.680614795,7.134465436,4.106941396,5.118152794,4.18644298,3.584109709,5.149744789,4.890544751,4.441001408,5.382870605,4.083966702,4.229380532,GSM505532,Non_response
3.743939601,3.98800272,4.100344764,4.638419692,6.509063557,5.023036344,6.610631822,5.898786604,4.660555036,6.948392804,4.482164124,4.192461582,3.784635109,6.391047986,4.125905919,5.345389735,4.190498529,3.87408347,4.988362615,9.482617324,4.406959612,5.446584451,3.708671691,3.928531258,GSM508123,Non_response
