CHEK1,IKZF3,ASPM,CAMK1D,FNDC3B,EHF,RSU1,EML4,GTF2A1,CCND2,RNF19A,CDT1,MAD2L1,UBE2S,EEA1,CRIPT,KLHL7,RAB28,CCNK,LUM,PLXDC2,CDK6,ACADSB,DTWD1,Sample_id,Response
4.94066641986371,4.10342634704539,5.14324782342187,4.97339405053252,6.33193218167324,5.55797972683251,5.76156803352837,6.16295987253742,6.01810232149704,7.25471997092834,5.82923540115801,3.91047868671586,3.90053220644298,5.01680201467985,3.65651741477357,5.19190021203648,3.23376751344528,5.59175517646761,7.39552228299805,8.86740957108774,6.39550531232209,7.89492070913025,2.47878569882213,5.23670741920141,GSM1233067,Non_response
3.13301923510714,3.92065529728911,3.71085485992447,5.80143518823036,5.37152288188406,8.95479289177302,5.15549025005334,5.78778719660318,5.71045425047438,7.20523646326149,6.73581946036634,5.16244342368919,3.18923761480866,2.76645500754684,4.07959870381358,5.50014974271453,4.20158327977601,5.60700729939863,6.51724758707823,8.89051330617874,7.15076769919085,5.53865198026224,1.82773561253789,6.23858313242096,GSM1233069,Non_response
2.67004189902268,4.48102227718185,5.16193559816495,5.28405073084422,5.43538980197591,10.5699399101609,6.31098613214174,6.48396459164373,5.91375255396041,8.17181128603774,6.64157622422391,4.04624840052958,3.30565999176059,3.67134237590693,5.43520610377179,5.51048788830119,2.47275274900355,6.72467909125197,6.72779288646321,8.95222584050542,6.2477228325569,5.91891559718942,2.23971009359061,5.01962365174784,GSM1233072,Non_response
3.66652914975946,3.95966180014688,4.05993053268976,4.89933849924838,5.48800462222308,7.6875420979388,5.57809045591007,6.58279300372463,5.78047275889306,6.3100630245336,6.02149205596042,2.88693610515294,4.17073750338032,2.76342618091478,3.90246632650395,5.84244269408948,3.29467298423666,5.20432343517646,7.1880471255275,8.10403314575789,5.63253597498614,4.53009453913036,1.9408348478511,5.13800888021876,GSM1233085,Response
2.72233488056444,3.56067244048231,5.22827896652163,5.25646106502431,7.61961945050928,7.91806224385412,5.66037994087141,6.16828580227598,5.84093418996887,7.77370995882047,5.28787888549926,5.91356436962651,4.40239204016126,2.66369809189422,4.25869605325431,5.48934116360171,3.02533267178565,6.12503930082097,7.14514284916593,9.97933511625279,7.07552929985,4.77314096403984,1.33338902277309,5.23777442005929,GSM1233086,Non_response
3.14132029866685,4.75552389331484,4.78458598574586,5.40406254185313,5.59812682319534,8.81576366802157,6.12936096000696,6.8841747935535,6.05161269919699,7.87528647408901,5.78073768648612,3.99669630357933,2.82370761784947,3.04043963072561,3.88526563096592,5.2931544860052,2.85973301334224,5.25244994543762,7.36856290951435,9.16514421338054,6.44851376855703,6.3218251205415,1.60990000348536,4.7094563964518,GSM1233098,Response
3.08449725789661,4.90989323734549,5.30255718079121,5.13726849664768,7.20641167414376,8.68842678446992,5.7047874095829,6.83018643375539,6.85658538344057,8.40589279648078,6.41889424834826,3.77172857185158,3.04582783079162,3.42752092148172,2.61282666055254,5.36086883567889,3.37463709301802,5.4108824609194,6.19560827338963,8.86084403990313,7.17380543676586,7.73406246846268,1.22942625188777,5.69348002664126,GSM1233102,Non_response
3.97695268561274,4.09592568835107,5.75938233401505,5.29474894369204,5.71723305787935,9.80661083286168,6.17430460555651,6.05409506267106,7.38275548354938,7.43878353271272,6.35816526599169,6.64038543258916,3.84208959946704,4.61916680839684,3.29180921487216,5.02505771057557,4.65648490022373,5.43664425208193,7.96369351481838,9.17214300516349,5.40555600090458,4.70025073097577,1.79924723560981,4.12772984191256,GSM1233103,Non_response
2.91523756028035,4.40013492349347,5.3959279415925,5.39071331413734,6.57935918134835,9.39739357249231,6.30724979263379,6.56858081800357,6.16076048899878,7.78150697547578,6.90280642652117,5.92305879365528,3.90324149755039,3.45432306581266,4.68367928907081,5.48080470165432,3.47714017422498,5.23273217391733,7.28898576944553,6.93100986402993,6.8174411289696,9.80888517786679,1.7939810774445,4.95968942256018,GSM1233107,Non_response
3.24381593665396,4.93420635955462,3.86437899550051,4.95947210249965,5.00519590647137,8.80643065611786,4.13493198064693,5.62072203688579,6.08753125341763,8.65364685360416,5.90160857176248,3.96679968696449,3.35570941960825,3.83831304998538,4.29616067300909,4.8544885222015,3.26089503601942,5.62635470772202,5.29795644943033,6.63021850786941,5.98085586395325,5.5853800731018,1.5546680280312,4.62284100557108,GSM1233108,Non_response
